1 | Ï╣101 | ┘ç┘åÏ»Ï│Ï® ┘êÏÁ┘ü┘èÏ® | yr= 1 | sem= 1 | dept= 1
2 | Ï╣102 | ÏúÏ│Ï│ ┘â┘çÏ▒Ï¿ÏºÏí | yr= 1 | sem= 1 | dept= 1
3 | Ï╣103 | ÏºÏ│Ï¬ÏºÏ¬┘è┘âÏº | yr= 1 | sem= 1 | dept= 1
4 | Ï╣104 | Ï¬┘é┘å┘èÏ® ┘êÏ▒Ï┤ | yr= 1 | sem= 1 | dept= 1
5 | Ï╣105 | Ï▒┘èÏºÏÂÏ® 2Ïî 3 | yr= 1 | sem= 1 | dept= 1
6 | Ï╣106 | ┘âÏ¬ÏºÏ¿Ï® Ï¬┘éÏºÏ▒┘èÏ▒ | yr= 1 | sem= 1 | dept= 1
7 | Ï╣107 | ┘àÏÁÏÀ┘äÏ¡ÏºÏ¬ ┘ü┘å┘èÏ® | yr= 1 | sem= 1 | dept= 1
8 | Ï╣108 | ┘ü┘èÏ▓┘èÏºÏí ┘åÏ│Ï¿┘èÏ® | yr= 1 | sem= 1 | dept= 1
9 | ┘ç101 | ┘à┘éÏ»┘àÏ® ┘ç┘åÏ»Ï│Ï® ┘å┘üÏÀ | yr= 1 | sem= 1 | dept= 6
10 | ┘ç102 | Ï¼┘è┘ê┘ä┘êÏ¼┘èÏº Ï╣Ïº┘àÏ® | yr= 1 | sem= 1 | dept= 6
11 | ┘ç103 | ┘â┘è┘à┘èÏºÏí Ï╣ÏÂ┘ê┘èÏ® | yr= 1 | sem= 1 | dept= 6
12 | ┘ç104 | Ï¼┘è┘ê┘ä┘êÏ¼┘èÏº ┘å┘üÏÀ | yr= 1 | sem= 1 | dept= 6
13 | ┘ç201 | Ï»┘è┘åÏº┘à┘è┘âÏº Ï¡Ï▒ÏºÏ▒┘èÏ® | yr= 2 | sem= 1 | dept= 6
14 | ┘ç202 | ┘à┘è┘âÏº┘å┘è┘âÏº ┘à┘êÏºÏªÏ╣ | yr= 2 | sem= 1 | dept= 6
15 | ┘ç203 | Ï│Ï▒┘èÏº┘å Ïº┘ä┘à┘êÏºÏªÏ╣ | yr= 2 | sem= 1 | dept= 6
16 | ┘ç204 | Ï«┘êÏºÏÁ ┘à┘êÏºÏªÏ╣ Ïº┘ä┘à┘â┘à┘å | yr= 2 | sem= 1 | dept= 6
17 | ┘ç205 | Ï«┘êÏºÏÁ ÏÁÏ«┘êÏ▒ Ïº┘ä┘à┘â┘à┘å | yr= 2 | sem= 1 | dept= 6
18 | ┘ç206 | ÏÁÏ«┘êÏ▒ Ï▒Ï│┘êÏ¿┘èÏ® | yr= 2 | sem= 1 | dept= 6
19 | ┘ç207 | Ï¼┘è┘ê┘ä┘êÏ¼┘èÏº Ï¬Ï▒┘â┘èÏ¿┘èÏ® | yr= 2 | sem= 1 | dept= 6
20 | ┘ç208 | ┘àÏ╣Ï»ÏºÏ¬ Ï¡┘é┘ê┘ä Ïº┘ä┘å┘üÏÀ | yr= 2 | sem= 1 | dept= 6
21 | ┘ç301 | Ï¡┘üÏ▒ ┘êÏ¬ÏÁ┘à┘è┘à Ïº┘äÏºÏ¿ÏºÏ▒ | yr= 3 | sem= 1 | dept= 6
22 | ┘ç302 | Ï¬┘é┘å┘èÏ® Ï│┘êÏºÏª┘ä Ïº┘äÏ¡┘üÏ▒ | yr= 3 | sem= 1 | dept= 6
23 | ┘ç303 | ┘ç┘åÏ»Ï│Ï® Ïº┘åÏ¬ÏºÏ¼ | yr= 3 | sem= 1 | dept= 6
24 | ┘ç304 | ┘ç┘åÏ»Ï│Ï® Ï║ÏºÏ▓ | yr= 3 | sem= 1 | dept= 6
25 | ┘ç305 | Ï¬ÏÀÏ¿┘è┘éÏºÏ¬ Ïº┘äÏ¡ÏºÏ│┘êÏ¿ ┘ü┘è Ïº┘ä┘ç┘åÏ»Ï│Ï® Ïº┘ä┘å┘üÏÀ┘èÏ® | yr= 3 | sem= 1 | dept= 6
